words,sentiment_coeff
were,-40.85328514396657
spandau,-60.4559135054658
would,-50.23069317724672
to_help,-60.42493849985505
strawberry,-63.626652567790934
three,-50.68105004406092
economy,-60.010170943121
silk,-91.29264716586003
super,-60.67751017773969
harvey,-85.3547150662369
of_arts,-54.26468745409742
village,-54.41710187916405
much,-67.32162590687182
style,-57.03491379894975
join_the,-24.90967808925117
making,-60.54166810263125
to_pronounce,-75.81006214951437
talk,-62.15234398334059
here,-34.09763231695553
art,-29.847415088381403
telegram_chat,-28.16082473910838
penske_truck,-40.730817724890294
perry,-68.46032643730372
chainsaw,-70.27231256978618
workshop,-62.4823326861024
including,-52.694699159806234
cost_coal,-65.67257687426033
golf,-62.87008988391774
what,-45.941682908118146
set,-54.045238934324324
light,-90.23548807418004
brzee_wealth,-40.32588067242947
conference_southern,-66.52659094963131
owner,-66.21423116729754
2020_high,-61.92223154143498
quality_low,-63.235547201601854
blower,-79.465380487988
tax,-94.58293487018766
paper,-52.11952654145802
floor_sweeper,-36.90609005890225
colt,-68.02583626173886
photography,-69.18614697159231
read_about,-28.627770131255012
offer,-60.29392617405605
oklahoma_city,-70.72204755298873
of_maryland,-68.2727972588912
parma_salumi,-56.14858616184253
semi_dried,-53.34437214414351
gorgonzola_focaccia,-59.525655534299894
know_about,-38.32714842446724
cotto_ham,-41.66727916195622
campus_ohio,-48.37156645309954
tomatoes_bruschetta,-40.895572864871625
ohio_institute,-73.28954260132252
ottawa_university,-53.81972736315269
buffalo_mozzarella,-51.58502946977661
oregon_university,-57.00856447027747
to_do,-41.4913112802272
prairie_airport,-55.53004311365244
festival,-98.2464698634847
polytechnic_institute,-50.324581213789266
nazarene_university,-64.45973910460786
of_aeronautics,-48.0246400580857
pittsburgh_institute,-59.50689285401241
tart_with,-35.01596708929617
gnss,-31.211707930769563
smart_mx,-48.51170402837801
common_misconceptions,-29.97000802162211
college_piedmont,-35.47873970274832
system_office,-54.476219492090124
times,-73.89018741201868
tags,-45.566384808736224
beidou_galileo,-24.566218915228845
aviation_airport,-60.39946173643098
level_21,-11.324262439526345
palmer_college,-80.82055176436235
may,-44.45000264274988
pacific_lutheran,-47.59734878304597
university_notre,-60.389920338746364
medicine_pacific,-69.47768677160029
san_antonio,-57.26998069950065
smart_charger,-51.592648950885426
burrata,-32.10036270407035
holiday,-78.67031608890179
kansas_technical,-72.61053806718427
mind_science,-54.96081582125896
look,-50.657763616717794
area_technical,-52.096679880906336
that_we,-57.50942138154168
business_institute,-48.509289912083325
smart_doorbell,-36.251677701722585
medicine_new,-54.69510181444029
of_podiatric,-38.61211617620322
york,-49.553109558602586
don_t,-57.54025600242011
understand_the,-60.90332814327947
academy_of,-62.35644318026405
handleiding_not,-51.172310129763574
university_main,-52.28913237030031
mexico_state,-60.205092168360146
smart_media,-48.38789269858456
georgia,-96.5342776478042
art_new,-68.42785784523248
england_school,-49.90278102773337
talking,-40.896136254765345
system_pdf,-48.02932543842272
landing_airport,-47.17701995796987
dakota_state,-37.741865576039835
bc_1215sct,-59.745119896314065
north_georgia,-57.718170640012666
university_northwestern,-61.13544583862508
elektronisches_ladegerat,-50.384576219733994
puff_pastry,-44.161440297264775
data,-82.86040702479515
betriebsanleitung_short,-54.224940846344246
betriebsanleitung_not,-51.29551413202311
college_northland,-59.564601638904385
national_guard,-73.78492679819875
wrapped_baked,-60.27936989542968
seminary_northeastern,-43.677494858601754
college_northeastern,-64.34473828593018
powers_siddhi,-85.80712128879328
and_tomato,-72.19151777627516
butternut_squash,-65.30267888692052
lemon,-65.63320861245371
smart_fortwo,-50.259970856350606
salad_with,-42.702930957170736
tomatoes_with,-63.040890639760676
vifon,1.097362092233695
orange_county,-76.82550491621292
area_community,-62.35989167745742
west_virginia,-47.231983175168054
pro,-81.43040296252846
purdue_university,-50.25598436061777
farms_airport,-50.11775614996922
acres_airport,-46.22427410033938
to_6,-51.27259162017879
st_johns,-73.58484300827322
more_than,-51.12351797851885
college_spencerian,-69.50336759926705
categories_select,-48.142137579112116
wide,-56.57806854011008
general_hospital,-43.124056341252164
college_southwest,-59.20806954387887
grass_roots,-62.549296431377115
acupuncture_college,-72.98650360365842
new_year,-64.94829097042799
society,-79.49295587715157
s_events,-82.29528496352663
il,-37.17456033925024
trip_to,-42.449311887592614
kentucky_community,-57.81045321509093
georgia_technical,-57.57878372281389
south_florida,-43.428385581827065
user_groups,-77.76234804337824
shorter_university,-51.44566259778325
ponderosa_heliport,-61.54441128455692
careers_st,-63.553013996585484
louis,-59.01067128689988
hospital_center,-70.29545023812643
these,-32.65196152599055
quote_from,-35.598567229039496
nickito_on,-45.28079869285442
november_21,-42.15156781829145
2017_03,-44.65465062288531
22_06,-22.63906954948294
what_s,-44.14076709417019
hunter,-70.37409081945172
presents,-63.75946896519701
outdoor,-73.18285306815652
st_mary,-43.09372863477699
thunder_valley,-75.0659478841942
westport_airport,-69.46142506899332
you_can,-43.78454882725158
get,-56.09730509382561
jerusalem,-73.051487329237
tomatoes,-65.61061210017843
hollywood,-73.4351432007208
458_1123,-24.16854023119215
the_ship,-61.51520566888618
wang_chung,-101.61055039694926
campus_seattle,-59.51007745495082
joseph_school,-59.39359374624765
pillai_s,-51.43328132706414
landing_heliport,-55.65804549238204
tom,-62.244725179940986
oil,-68.89524815808036
saint_francis,-80.1082340765876
n,-54.677815558739674
saint_augustine,-54.057116047963156
companies,-48.552609332540136
rutgers_university,-55.07312233038389
college_rowan,-74.711162631531
homes_and,-27.07721286908726
roger_williams,-42.809372759295265
college_rocky,-76.17637854391243
college_rochester,-36.98118774220941
roberts_wesleyan,-68.4081656562788
morris,-57.61238897504256
college_robert,-84.24173260087576
phoenix,-81.3899736097065
turner,-57.82195919151851
company,-89.66193665115935
engineering,-81.95963051615031
event,-71.19015553501814
de_leon,-54.51629629597956
seminary_saint,-58.7456461333166
pace,-68.03244647351748
college_fresno,-46.79683771685033
business_technology,-56.7497411414156
university_savannah,-46.718868265448336
santa_fe,-60.93251444843757
s_teachings,-65.3420473492412
sanford_brown,-52.983957961641934
china,-90.1873857315258
municipal_airport,-51.6369709341018
college_rancho,-49.792304200374595
god_goddess,-77.134704994372
award,-46.45338397093079
windows,-58.33940029207078
of_law,-53.27418209733309
art_institute,-56.79890919918318
district_san,-59.611397421116635
penske_media,-20.71053241924512
theology_saint,-49.343954692449024
trans_x,-77.41003226912292
saint_joseph,-45.57605509782449
biometrics,-35.01969905586158
shivaya_namaha,-86.35102828519067
culinary_institute,-62.90998179032625
warren,-51.39294829019923
manufacturing,-54.854487346471736
fun,-66.33589609644719
white,-68.48467017105237
tech,-79.08427283520086
research,-57.33739436945791
open,-72.29465692801375
internet,-48.78647284408137
neustadt,-65.30494455800455
memorial,-75.39062920337659
life_camera,-59.16548030420125
smart_navi,-49.113764317077965
berlin,-59.97307633365961
bournville_0121,-21.983630457191946
smart_router,-51.01728851393228
michigan,-54.20218871888544
stuff,-72.57206456652486
animal,-65.33819413602234
sport,-101.9853016473326
case,-62.110789149098466
ss,-57.974236684418635
fire,-83.78343697228277
personal,-46.31091574337305
alicia,-65.67028979156103
gps_global,-45.80192393979102
positioning_system,-45.37502052992144
glonass_global,-48.5276329461447
davidson,-73.46734713821782
bag,-62.318099251859245
phillips_66,-44.53521736618805
300,-80.31570823557573
i_can,-42.298857989177854
notebook_11,-57.93745414598341
ready,-61.974640634898606
care,-57.282231299965964
united_states,-52.813336802516474
power_flo,-53.589174928433174
energy,-60.024348812468254
orbiting_navigation,-51.246570195940365
power_systems,-26.5165522521598
clean,-66.68186208587277
skyline,-56.84936025588858
fig_prosciutto,-27.14498358651796
level,-24.006896378418958
or_galileo,-42.924848835840734
airlines,-9.521518444174394
speck,-59.39333349507382
satellite_system,-51.155187773463396
for_sale,-60.6311159394604
slab_table,-50.4802320253281
wood,-59.76945004416962
dsr,-76.50116328794888
manual_is,-57.06199416486972
2005,-55.61664147453677
smart_instruction,-44.168003828470084
madison,-72.60335839792295
wright,-72.05729034694902
1995,-69.94598513421171
v,-70.08465147287042
everything,-64.36699948950738
conference_mid,-82.22484114741421
urinal,-45.59983163047195
add,-40.694442094448114
if,-47.731940531155075
manual_transmission,-61.676679387476455
website,-52.57131118118636
workshop_service,-74.25700082565392
brzee,-50.23598055218724
royal,-78.13598386006552
